Date,"Imp Vol","1D IV Chg","IV Rank","IV Pctl","P/C Vol","Options Vol","P/C OI","Total OI",Last,"Call Volume","Put Volume","Call OI","Put OI"
2026-01-06,41.45%,+0.27%,6.01%,8%,0.088892561376448,118600,0.55337466311173,2149855,20.66,108918,9682,1383990,765865
2026-01-05,41.18%,+0.47%,5.69%,7%,0.16700385606336,134978,0.56523468635459,2093348,20.72,115662,19316,1337402,755946
2026-01-02,40.71%,+0.28%,5.13%,7%,0.24023002806232,179434,0.54865389459977,2145454,20.62,144678,34756,1385367,760087
2025-12-31,40.43%,+1.89%,4.81%,6%,0.19191281350291,160441,0.55575745856109,2107874,20.08,134608,25833,1354886,752988
2025-12-30,38.54%,-0.64%,2.57%,3%,0.17024913767815,115692,0.55812666903908,2084144,20.5,98861,16831,1337596,746548
2025-12-29,39.18%,+0.50%,3.33%,4%,0.17729666978549,135893,0.5644221074822,2048204,20.53,115428,20465,1309240,738964
2025-12-26,38.68%,+0.01%,2.74%,3%,0.23727574276848,138758,0.53990903048843,2133912,21.09,112148,26610,1385739,748173
2025-12-24,38.67%,+2.27%,2.73%,3%,0.14449705445136,41575,0.54334289603883,2123379,21.53,36326,5249,1375831,747548
2025-12-23,36.40%,-2.57%,0.06%,2%,0.24499863908547,146372,0.5355809379104,2085970,21.38,117568,28804,1358424,727546
2025-12-22,38.97%,-1.21%,3.08%,2%,0.21186940165467,166546,0.5356156632216,2038086,21.74,137429,29117,1327211,710875
2025-12-19,40.18%,-0.40%,4.51%,3%,0.16883295603889,169870,0.51066970710365,2198106,22.51,145333,24537,1455054,743052
2025-12-18,40.59%,-1.82%,4.99%,3%,0.1914175856065,131380,0.51162440389007,2177631,22.56,110272,21108,1440590,737041
2025-12-17,42.41%,+0.17%,7.13%,4%,0.19590566798531,219475,0.51376260017194,2146420,23.03,183522,35953,1417937,728483
2025-12-16,42.24%,-0.66%,6.89%,4%,0.18267671933902,121099,0.52209232254353,2119165,22.28,102394,18705,1392271,726894
2025-12-15,42.90%,+3.33%,7.66%,4%,0.12778038812401,254425,0.54355178335714,2051050,22.09,225598,28827,1328786,722264
2025-12-12,39.57%,+3.21%,3.76%,2%,0.28207032901729,224370,0.52370592288939,2195613,21.23,175006,49364,1440969,754644
2025-12-11,36.36%,-7.04%,0.00%,2%,0.14288121860314,176318,0.53782200841512,2172475,21.86,154275,22043,1412696,759779
2025-12-10,43.39%,-17.35%,4.16%,3%,0.21865318279835,326086,0.54331823820802,2134761,22.12,267579,58507,1383228,751533
2025-12-09,60.74%,-0.64%,25.38%,34%,0.29112416288102,203782,0.54577133148952,2066265,23.11,157833,45949,1336721,729544
2025-12-08,61.38%,-0.96%,26.16%,36%,0.20044567938595,130905,0.55219036196201,2021447,23.35,109047,21858,1302319,719128
