Date,"Imp Vol","1D IV Chg","IV Rank","IV Pctl","P/C Vol","Options Vol","P/C OI","Total OI",Last,"Call Volume","Put Volume","Call OI","Put OI"
2024-03-15,130.83%,-1.29%,82.13%,87%,0.31563551265175,71960,0.49354103202145,401540,14.24,54696,17264,268851,132689
2024-03-14,132.11%,-2.44%,83.52%,88%,0.35466891251711,38604,0.48973101343609,393940,14.63,28497,10107,264437,129503
2024-03-13,134.55%,-2.44%,86.16%,90%,0.18705145052057,46974,0.5026657467227,383312,14.87,39572,7402,255088,128224
2024-03-12,136.99%,+7.82%,88.80%,94%,0.19979818365288,38048,0.51373234874984,373904,14.72,31712,6336,247008,126896
2024-03-11,129.17%,-1.12%,80.33%,88%,0.22005629104555,46816,0.51964418087472,358750,14.43,38372,8444,236075,122675
2024-03-08,130.28%,-8.56%,81.54%,89%,0.29801792881518,73412,0.46435398485916,405238,14.65,56557,16855,276735,128503
2024-03-07,138.84%,-8.48%,90.81%,96%,0.20756854747337,42632,0.4716993654434,399144,15.26,35304,7328,271213,127931
2024-03-06,147.32%,+16.82%,100.00%,98%,0.1676279384598,82800,0.47555960920109,381804,15.26,70913,11887,258752,123052
2024-03-05,130.50%,-5.01%,93.78%,95%,0.18520043418048,63330,0.48269182552713,366643,15,53434,9896,247282,119361
2024-03-04,135.51%,+17.49%,100.00%,98%,0.18047324160151,79872,0.49591151267496,343382,15.22,67661,12211,229547,113835
2024-03-01,118.02%,+10.98%,99.10%,95%,0.16618002416432,138990,0.49125086385625,377622,14.95,119184,19806,253225,124397
2024-02-29,107.04%,-0.50%,81.83%,93%,0.28901289848292,38575,0.48098667997876,373804,14.27,29926,8649,252402,121402
2024-02-28,107.54%,-11.05%,82.61%,95%,0.1978021978022,46325,0.47996941211882,363849,14.24,38675,7650,245849,118000
2024-02-27,118.59%,+20.04%,100.00%,97%,0.16974305645825,53993,0.51169289082815,342988,14.21,46158,7835,226890,116098
2024-02-26,98.56%,-2.66%,94.24%,95%,0.26148507980569,36356,0.52727409560632,324700,13.68,28820,7536,212601,112099
2024-02-23,101.22%,+3.40%,100.00%,97%,0.46238861360902,71717,0.57323787607602,369176,13.51,49041,22676,234660,134516
2024-02-22,97.82%,+5.69%,100.00%,97%,0.53426311893724,39383,0.58639914297192,355401,13.36,25669,13714,224030,131371
2024-02-21,92.13%,-0.62%,98.36%,94%,1.1427810553917,52301,0.6281924489254,355607,13.41,24408,27893,218406,137201
2024-02-20,92.75%,+10.00%,100.00%,97%,0.56792760789208,65323,0.64770488031769,329452,13.49,41662,23661,199946,129506
2024-02-16,82.75%,+1.70%,100.00%,97%,0.27526735624123,58193,0.63423253054489,440728,14.12,45632,12561,269685,171043
2024-02-15,81.05%,+4.25%,100.00%,97%,0.8205263679292,55131,0.57671455321586,418490,14.51,30283,24848,265419,153071
2024-02-14,76.80%,-2.36%,90.23%,94%,1.5766150210084,78494,0.65982531055901,427571,14.41,30464,48030,257600,169971
2024-02-13,79.16%,+4.22%,100.00%,97%,0.5331903813754,50051,0.65353694871295,415681,14.17,32645,17406,251389,164292
2024-02-12,74.94%,+3.76%,100.00%,97%,0.42275237983312,60531,0.64514525059626,390416,14.73,42545,17986,237314,153102
2024-02-09,71.18%,+3.48%,100.00%,96%,0.26407223571655,119695,0.64152178310902,413826,14.66,94690,25005,252099,161727
2024-02-08,67.69%,-0.11%,83.91%,85%,0.76059117268041,43719,0.65418794959983,404487,14.35,24832,18887,244523,159964
2024-02-07,67.80%,+3.41%,84.64%,92%,1.196128837139,43569,0.61845311361752,386574,14.07,19839,23730,238854,147720
2024-02-06,64.40%,-5.73%,62.07%,64%,0.83830961221122,71297,0.66877332182901,375212,14.1,38784,32513,224843,150369
2024-02-05,70.12%,+13.56%,100.00%,96%,1.5639054213659,110712,0.50560454341653,312294,13.46,43181,67531,207421,104873
2024-02-02,56.56%,-1.52%,12.02%,4%,0.24290719372406,65275,0.45834211494196,352894,14.73,52518,12757,241983,110911
2024-02-01,58.08%,-2.32%,23.94%,14%,0.50664075153871,27906,0.45331472200733,345668,14.42,18522,9384,237848,107820
2024-01-31,60.40%,-1.32%,42.08%,24%,0.46580627993614,33051,0.45476824673999,334796,14.23,22548,10503,230137,104659
2024-01-30,61.72%,-1.93%,52.41%,35%,0.29535706626635,24161,0.45867916428163,326184,14.55,18652,5509,223616,102568
2024-01-29,63.65%,+1.42%,67.55%,47%,0.24970414201183,38016,0.48252055270369,307285,14.78,30420,7596,207272,100013
2024-01-26,62.23%,-1.74%,56.40%,44%,0.25918217433888,51425,0.51275472867683,351422,14.49,40840,10585,232306,119116
2024-01-25,63.97%,+2.35%,69.99%,53%,0.33417742423825,48472,0.52448218214616,334665,14.52,36331,12141,219527,115138
2024-01-24,61.62%,-2.95%,51.60%,38%,0.46484436101987,37459,0.54239443663817,323818,13.95,25572,11887,209945,113873
2024-01-23,64.56%,-3.24%,74.66%,60%,0.47883564785854,35461,0.5650179596629,314578,14.18,23979,11482,201006,113572
2024-01-22,67.80%,+2.67%,100.00%,93%,0.31417859866136,62045,0.65147288583359,290684,14.9,47212,14833,176015,114669
2024-01-19,65.12%,-1.54%,86.77%,77%,0.43120880275217,54499,0.344828437597,762550,14.51,38079,16420,567024,195526
2024-01-18,66.66%,+2.18%,100.00%,92%,0.61723167359952,64927,0.34014814014814,744526,14.29,40147,24780,555555,188971
2024-01-17,64.49%,+7.30%,93.46%,73%,1.3121379065221,65052,0.31465425862434,719342,14.08,28135,36917,547172,172170
2024-01-16,57.19%,+2.16%,21.35%,10%,0.61066510564754,57781,0.31183964528317,702376,13.98,35874,21907,535413,166963
2024-01-12,55.03%,-3.78%,0.00%,0%,0.25721148993722,62281,0.31729756831286,735658,14.75,49539,12742,558460,177198
2024-01-11,58.81%,+1.41%,18.18%,25%,0.16944227716646,43467,0.32188297715334,725493,15.25,37169,6298,548833,176660
2024-01-10,57.40%,-1.23%,0.00%,0%,0.16404419803217,59627,0.3351282463432,697722,15.73,51224,8403,522588,175134
2024-01-09,58.63%,-2.41%,0.00%,0%,0.30216830302851,43900,0.33721107650897,683593,15.16,33713,10187,511208,172385
2024-01-08,61.04%,-4.11%,0.00%,0%,0.25314799024371,63195,0.3482148181506,655649,15.79,50429,12766,486309,169340
2024-01-05,65.15%,+2.97%,100.00%,75%,0.43620689655172,52479,0.33907199322145,695360,15.96,36540,15939,519285,176075
2024-01-04,62.18%,-1.52%,0.00%,0%,0.57054111492562,38428,0.33580942622951,688380,16.36,24468,13960,515328,173052
2024-01-03,63.71%,-1.36%,0.00%,0%,0.41588694586049,43884,0.33569807818602,679312,16.69,30994,12890,508582,170730
2024-01-02,65.07%,+65.07%,0.00%,0%,0.29719515043421,61094,0.33767428850562,659959,16.67,47097,13997,493363,166596
2023-12-29,62.42%,-4.58%,9.21%,24%,0.31815577996367,80538,0.34918587901687,715592,17.53,61099,19439,530388,185204
2023-12-28,67.00%,-4.13%,14.11%,33%,0.24400955887102,57783,0.34873523805875,704087,18.07,46449,11334,522035,182052
2023-12-27,71.13%,+1.57%,18.52%,41%,0.33870067287633,91120,0.35079865986404,680169,18.37,68066,23054,503531,176638
2023-12-26,69.55%,-2.66%,16.84%,40%,0.3358811683953,61695,0.35093260945565,656918,17.36,46183,15512,486270,170648
2023-12-22,72.21%,-1.82%,19.68%,43%,0.26893002407238,76434,0.33443918500279,747354,16.97,60235,16199,560051,187303
2023-12-21,74.03%,-3.16%,21.63%,44%,0.29920532646048,60491,0.33540631972936,742112,16.98,46560,13931,555720,186392
2023-12-20,77.20%,-5.41%,25.01%,51%,0.20500998731172,95920,0.33527132855012,724135,16.93,79601,16319,542313,181822
2023-12-19,82.61%,+0.45%,30.80%,57%,0.34627155208455,80503,0.33018382235934,710527,17.72,59797,20706,534157,176370
2023-12-18,82.16%,-2.35%,30.31%,56%,0.25287879081109,129475,0.33173159708365,657384,17.86,103342,26133,493631,163753
2023-12-15,84.51%,-2.39%,32.83%,58%,0.25972406473866,94958,0.34487200257936,838408,17.26,75380,19578,623411,214997
