Strike,Call Gamma,Call Open Interest,Call Gamma Exposure,Put Gamma,Put Open Interest,Put Gamma Exposure,Net Gamma Exposure,Absolute Gamma Exposure,Aggregated Call Exposure,Aggregated Put Exposure,Gamma Exposure Profile
13,0.0272,260.0000,1685.3573,0.0124,164.0000,-328.6067,1356.7505999999998,2013.964,72681.42840798073,-610341.405746605,-299839.2326
14,0.0284,58.0000,141.3642,0.0201,552.0000,-1212.1021,-1070.7379,1353.4663,18901.849727760808,-1539846.5003360708,-373173.6036
15,0.0605,9911.0000,85668.5120,0.0278,3207.0000,-20363.5389,65304.9731,106032.0509,1986317.3859389494,-962472.0965025536,-540003.9566
16,0.0626,579.0000,6343.9103,0.0471,9581.0000,-71523.7216,-65179.8113,77867.63190000001,428457.5144611827,-2704210.182341159,-793396.4570
17,0.0961,591.0000,8590.4097,0.0844,1054.0000,-12330.3904,-3739.9807,20920.8001,341743.11059394496,-362980.6540817442,-826055.1898
18,0.1200,463.0000,8368.0067,0.1068,6329.0000,-98196.8309,-89828.8242,106564.8376,795690.1643161952,-2966789.2021908523,-971731.7436
18.5,0.1216,4.0000,84.1826,0.0868,4.0000,-47.1929,36.98969999999999,131.3755,2204.4132124922407,-2204.4132124922407,-1084847.4882
19,0.1637,619.0000,14086.8357,0.1476,3671.0000,-80812.0058,-66725.1701,94898.8415,466343.59297659487,-1973348.794118893,-1211637.0049
19.5,0.1646,12.0000,327.4465,0.1164,40.0000,-1001.8323,-674.3858,1329.2788,8849.821928734716,-50182.66043960653,-1334939.0154
20,0.2252,7524.0000,239042.3455,0.1932,21546.0000,-644116.4135,-405074.068,883158.7590000001,11610046.870104281,-16678858.565791354,-1414324.2229
20.5,0.1943,79.0000,2895.1384,0.1748,271.0000,-9192.5542,-6297.415800000001,12087.6926,59826.90012389718,-290897.3815840178,-1417967.0642
21,0.3090,6646.0000,279410.7373,0.2961,10885.0000,-437799.0869,-158388.34960000002,717209.8241999999,4865920.577365157,-9162270.562030578,-1314477.1478
21.5,0.2913,382.0000,21314.2544,0.2839,1785.0000,-91404.8236,-70090.5692,112719.07800000001,529909.5401979402,-1571167.9125511711,-982209.1975
22,0.4538,8366.0000,484513.4829,0.4867,14617.0000,-968662.2756,-484148.79270000005,1453175.7585,7535153.523700904,-12058558.785317201,-126239.6681
22.5,0.4349,3209.0000,248701.4222,0.4922,5867.0000,-675208.2134,-426506.7912,923909.6356,2777924.1443302333,-5637599.7342566475,1654484.2380
23,0.6553,13792.0000,1389385.6607,0.7415,18085.0000,-2248185.6085,-858799.9478000002,3637571.2692,14519412.876738477,-17223289.648163944,4617537.7946
23.5,0.6388,9369.0000,1516442.4517,0.6979,4351.0000,-705781.3665,810661.0852000001,2222223.8182,9606031.216919037,-4419603.767261013,8598197.3673
24,0.7157,25949.0000,3144433.5501,0.8415,8377.0000,-1294315.9751,1850117.5750000002,4438749.5252,27693078.3958076,-8928512.804147033,12922999.4169
24.5,0.5345,10053.0000,1304537.5731,0.5917,1004.0000,-130192.4465,1174345.1265999998,1434730.0196,11438876.980943719,-1132399.0418665912,16638927.9874
25,0.5510,64271.0000,5479814.4674,0.5805,7269.0000,-568953.9089,4910860.5585,6048768.376300001,82864300.88043521,-10199920.593757426,18975920.9370
25.5,0.3628,3070.0000,219022.9332,0.3544,117.0000,-8096.5653,210926.3679,227119.4985,3896182.4937267555,-128296.9561823306,19738696.4135
26,0.3907,22014.0000,1182412.5328,0.3739,578.0000,-28062.0650,1154350.4678,1210474.5977999999,27786449.312200878,-762137.9306359454,19329050.9455
26.5,0.2503,1742.0000,72392.0634,0.1840,79.0000,-208.2420,72183.8214,72600.3054,2338372.9265865237,-108185.28621249428,18425848.6623
27,0.2912,17631.0000,652392.4189,0.2957,659.0000,-23319.1930,629073.2259000001,675711.6119,26692955.894734807,-1545971.6259422407,17635230.0118
27.5,0.1957,1746.0000,61125.3741,0.1208,2.0000,-68.3594,61057.0147,61193.7335,2553048.746114936,-3286.2698515374645,17337621.4391
28,0.2240,16739.0000,479439.0234,0.1614,336.0000,-7694.1563,471744.86710000003,487133.1797,24684958.010991435,-426792.9383577024,17681915.8297
28.5,0.1627,613.0000,18370.0243,0.0419,1.0000,-13.5577,18356.4666,18383.582000000002,903701.8428661888,-1325.7579785733699,18578955.8742
29,0.1790,6814.0000,143608.9889,0.0947,160.0000,-653.8657,142955.1232,144262.8546,10985616.603176799,-260369.0500363376,19682424.5743
29.5,0.1157,532.0000,11015.0933,0.0838,0.0000,0.0000,11015.0933,11015.0933,843003.5820636771,,20471655.9768
30,0.1458,75382.0000,1470517.9122,0.0533,560.0000,-8271.8138,1462246.0984,1478789.7259999998,128486024.11346745,-5114717.890288106,20480612.9870
31,0.1248,2920.0000,41629.4118,0.0360,79.0000,-183.5201,41445.8917,41812.9319,6392631.084141508,-147520.24241795536,17860141.7878
32,0.1005,4745.0000,71965.6904,0.0475,137.0000,-1465.1215,70500.56890000001,73430.8119,21730829.33698025,-412442.434058753,14016847.0161
33,0.0942,2533.0000,30149.6790,0.0443,25.0000,-233.6096,29916.0694,30383.2886,7857814.268859143,-35203.95562576083,11572119.4862
34,0.0858,2609.0000,23898.8783,0.0000,4.0000,0.0000,23898.8783,23898.8783,4888797.99959955,-12637.73359576971,10663471.5406
35,0.0624,18614.0000,191053.5381,0.0000,168.0000,0.0000,191053.5381,191053.5381,32007725.462694753,-294238.6096876304,10356003.4658
36,0.0290,1903.0000,16757.2303,0.0000,2.0000,0.0000,16757.2303,16757.2303,2628289.9904646706,-2067.869603885044,9925454.0467
