Date,"Imp Vol","1D IV Chg","IV Rank","IV Pctl","P/C Vol","Options Vol","P/C OI","Total OI",Last,"Call Volume","Put Volume","Call OI","Put OI"
2026-03-16,50.35%,-0.57%,18.34%,26%,0.19267453117717,66525,0.63203371069753,1871063,23.62,55778,10747,1146461,724602
2026-03-13,50.92%,-0.23%,19.00%,29%,0.23291115340088,248132,0.6098373824788,1967928,23.53,201257,46875,1222439,745489
2026-03-12,51.16%,-0.05%,19.27%,30%,0.15364304422977,108792,0.61630525081394,1947546,24.43,94303,14489,1204937,742609
2026-03-11,51.21%,-2.22%,19.33%,30%,0.16869662877834,120710,0.61824583437997,1932671,24.46,103286,17424,1194300,738371
2026-03-10,53.43%,+0.18%,21.88%,38%,0.19385617629192,113987,0.62182654350699,1907148,24.37,95478,18509,1175926,731222
2026-03-09,53.25%,-1.03%,21.68%,37%,0.17499068572661,179763,0.63325310368992,1855222,24.8,152991,26772,1135906,719316
2026-03-06,54.28%,+3.66%,22.86%,40%,0.20332127302533,248108,0.594314842118,1950759,24.37,206186,41922,1223572,727187
2026-03-05,50.62%,-0.80%,18.65%,27%,0.18503566032525,145885,0.60136508423073,1922458,23.88,123106,22779,1200512,721946
2026-03-04,51.42%,-0.10%,19.57%,30%,0.11174379091827,84736,0.6081865374165,1905849,23.87,76219,8517,1185092,720757
2026-03-03,51.52%,-0.24%,19.69%,30%,0.21062729488042,109793,0.60977651357754,1878907,23.82,90691,19102,1167185,711722
2026-03-02,51.76%,-0.37%,19.96%,31%,0.23770936921954,145869,0.61160377317234,1842603,24.2,117854,28015,1143335,699268
2026-02-27,52.13%,+1.85%,20.39%,32%,0.15051532661257,224599,0.58154594550292,1968245,24.03,195216,29383,1244507,723738
2026-02-26,50.28%,-0.28%,18.25%,26%,0.25153292959879,132262,0.58513746964585,1945249,24.1,105680,26582,1227180,718069
2026-02-25,50.56%,+0.10%,18.57%,26%,0.18555638043389,114980,0.5898211802007,1913442,24.22,96984,17996,1203558,709884
2026-02-24,50.46%,-2.14%,18.46%,26%,0.22033451527597,143515,0.59421816519044,1882676,23.77,117603,25912,1180940,701736
2026-02-23,52.60%,+5.57%,20.93%,31%,0.1779232436456,161412,0.60964907233396,1818361,23.64,137031,24381,1129663,688698
2026-02-20,47.02%,-1.75%,14.50%,20%,0.19140922297466,214462,0.56804173932689,1998891,23.43,180007,34455,1274769,724122
2026-02-19,48.78%,+0.73%,16.52%,23%,0.31219013699739,129689,0.57517950719188,1969773,23.9,98834,30855,1250507,719266
2026-02-18,48.05%,+1.55%,15.68%,21%,0.18104641974235,162910,0.58299910407706,1931213,23.87,137937,24973,1219971,711242
2026-02-17,46.49%,-4.60%,13.89%,18%,0.20549364254566,144300,0.58498368802508,1909815,23.26,119702,24598,1204943,704872
2026-02-13,51.10%,-1.84%,19.20%,26%,0.17938260887121,175248,0.55626698006655,2039270,23.57,148593,26655,1310360,728910
2026-02-12,52.94%,+1.54%,21.32%,30%,0.12384180675594,220146,0.5620581496264,2010461,23.52,195887,24259,1287059,723402
